综合,#genre#
吉林卫视,http://58.252.12.164:8000/udp/239.77.1.111:5146
吉林卫视,http://58.252.12.164:8000/udp/239.77.0.150:5146
陕西卫视,http://58.252.12.164:8000/udp/239.77.0.68:5146
陕西卫视,http://58.252.12.164:8000/udp/239.77.1.54:5146
山西卫视,http://58.252.12.164:8000/udp/239.77.0.69:5146
山西卫视,http://58.252.12.164:8000/udp/239.77.1.74:5146
内蒙古卫视,http://58.252.12.164:8000/udp/239.77.0.70:5146
内蒙古卫视,http://58.252.12.164:8000/udp/239.77.1.55:5146
青海卫视,http://58.252.12.164:8000/udp/239.77.0.71:5146
青海卫视,http://58.252.12.164:8000/udp/239.77.1.70:5146
海南卫视,http://58.252.12.164:8000/udp/239.253.43.35:5146
海南卫视,http://58.252.12.164:8000/udp/239.253.43.101:5146
宁夏卫视,http://58.252.12.164:8000/udp/239.77.0.73:5146
宁夏卫视,http://58.252.12.164:8000/udp/239.77.1.47:5146
西藏卫视,http://58.252.12.164:8000/udp/239.77.0.74:5146
西藏卫视,http://58.252.12.164:8000/udp/239.77.1.49:5146
新疆卫视,http://58.252.12.164:8000/udp/239.77.0.75:5146
新疆卫视,http://58.252.12.164:8000/udp/239.77.1.53:5146
甘肃卫视,http://58.252.12.164:8000/udp/239.77.0.189:5146
兵团卫视,http://58.252.12.164:8000/udp/239.77.0.77:5146
兵团卫视,http://58.252.12.164:8000/udp/239.77.1.80:5146
厦门卫视,http://58.252.12.164:8000/udp/239.77.0.96:5146
三沙卫视,http://58.252.12.164:8000/udp/239.253.43.113:5146
延边卫视,http://58.252.12.164:8000/udp/239.77.0.10:5146
延边卫视,http://58.252.12.164:8000/udp/239.77.1.99:5146

V6,#genre#
CCTV-1 综合,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-1H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-2 财经,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-2H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-3 综艺,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-3H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-4 中文国际,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-4H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-5 体育,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-5H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-5+ 体育赛事,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-5plusH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-6 电影,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-6H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-7 国防军事,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-7H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-8 电视剧,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-8H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-9 纪录,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-9H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-10 科教,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-10H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
